@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
SAbila,Permanente,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Medicinales,2,2,40,20,'Aloe vera','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',680,648,6480,10,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',215,154,4127.2,26.8,'Musa cavendishii','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,0,0,0,0,'Passiflora ligularis.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,136,136,1468.8,10.8,'Psidium guajava L.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,5,4.9,98,20,'Passiflora edulis Sims fo. Edulis','En fresco'
Lulo,Permanente,Frutales,SolanAceas,1,1,3,3,'Solanum quitoense Lam','En fresco'
'Pina demAs variedades',Permanente,Frutales,'Demas frutales',0,0,0,0,'Ananas comosus L. Merr.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1491,1491,21843.15,14.65,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,916,880,9504,10.8,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,7,6.85,0.98,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,10,9.5,76,8,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',33,32.5,747.5,23,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1.3,1,8,8,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',1,0.8,10.4,13,'Lactuca sativa','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',10,9,135,15,'Capsicum annuum L','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',1,0.9,13.5,15,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',20,19.8,514.8,26,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',1,0.9,25.65,28.5,'Daucus carota','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',210,209,2717,13,'Solanum tuberosum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,7.5,7.34,0.98,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,10,9.5,76,8,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',25,20,460,23,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1.3,1,8,8,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',1,0.8,10.4,13,'Lactuca sativa','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',11,10.8,162,15,'Capsicum annuum L','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',1,0.9,13.5,15,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',23,22.5,585,26,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',1,0.8,22.8,28.5,'Daucus carota','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',210,209,2717,13,'Solanum tuberosum','En fresco'
Iraca,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',10,10,14,1.4,'Carludovica palmata','En fresco'
